Prepare: check process on cuda: 2...
Start: create dataset: [alpha: 0.75], [beta: 25.0]
              Loss: [Test: p = 1.05575, q = 1.25937],
              Effect: [ate-q], [train: 0.23879], [test: 0.23875]
********************************************************************************
Finish: epoch: 34 / 500, time cost: 39.61 sec, 
              Loss: [Train: p = 1.05169, q = 1.25581], 
              Loss: [Test: p = 1.05560, q = 1.25875],
              Effect: [ate-q], [train: 0.23896], [test: 0.23893]
********************************************************************************
Finish: epoch: 35 / 500, time cost: 38.03 sec, 
              Loss: [Train: p = 1.05159, q = 1.25591], 
              Loss: [Test: p = 1.05544, q = 1.25889],
              Effect: [ate-q], [train: 0.23803], [test: 0.23800]
********************************************************************************
Finish: epoch: 36 / 500, time cost: 37.90 sec, 
              Loss: [Train: p = 1.05136, q = 1.25538], 
              Loss: [Test: p = 1.05531, q = 1.25841],
              Effect: [ate-q], [train: 0.23838], [test: 0.23835]
********************************************************************************
Finish: epoch: 37 / 500, time cost: 38.20 sec, 
              Loss: [Train: p = 1.05120, q = 1.25556], 
              Loss: [Test: p = 1.05510, q = 1.25844],
              Effect: [ate-q], [train: 0.23941], [test: 0.23937]
********************************************************************************
Finish: epoch: 38 / 500, time cost: 39.72 sec, 
              Loss: [Train: p = 1.05094, q = 1.25537], 
              Loss: [Test: p = 1.05491, q = 1.25846],
              Effect: [ate-q], [train: 0.23828], [test: 0.23823]
********************************************************************************
Finish: epoch: 39 / 500, time cost: 37.53 sec, 
              Loss: [Train: p = 1.05076, q = 1.25525], 
              Loss: [Test: p = 1.05478, q = 1.25793],
              Effect: [ate-q], [train: 0.23849], [test: 0.23845]
********************************************************************************
Finish: epoch: 40 / 500, time cost: 37.32 sec, 
              Loss: [Train: p = 1.05057, q = 1.25466], 
              Loss: [Test: p = 1.05459, q = 1.25812],
              Effect: [ate-q], [train: 0.23906], [test: 0.23902]
********************************************************************************
Finish: epoch: 41 / 500, time cost: 37.46 sec, 
              Loss: [Train: p = 1.05036, q = 1.25461], 
              Loss: [Test: p = 1.05441, q = 1.25820],
              Effect: [ate-q], [train: 0.23974], [test: 0.23970]
********************************************************************************
Finish: epoch: 42 / 500, time cost: 39.47 sec, 
              Loss: [Train: p = 1.05017, q = 1.25433], 
              Loss: [Test: p = 1.05427, q = 1.25747],
              Effect: [ate-q], [train: 0.23794], [test: 0.23790]
********************************************************************************
Finish: epoch: 43 / 500, time cost: 37.25 sec, 
              Loss: [Train: p = 1.04998, q = 1.25450], 
              Loss: [Test: p = 1.05410, q = 1.25812],
              Effect: [ate-q], [train: 0.23731], [test: 0.23726]
********************************************************************************
Finish: epoch: 44 / 500, time cost: 37.40 sec, 
              Loss: [Train: p = 1.04978, q = 1.25379], 
              Loss: [Test: p = 1.05390, q = 1.25693],
              Effect: [ate-q], [train: 0.23831], [test: 0.23826]
********************************************************************************
Finish: epoch: 45 / 500, time cost: 37.69 sec, 
              Loss: [Train: p = 1.04958, q = 1.25362], 
              Loss: [Test: p = 1.05372, q = 1.25711],
              Effect: [ate-q], [train: 0.23963], [test: 0.23958]
********************************************************************************
Finish: epoch: 46 / 500, time cost: 37.84 sec, 
              Loss: [Train: p = 1.04936, q = 1.25350], 
              Loss: [Test: p = 1.05353, q = 1.25703],
              Effect: [ate-q], [train: 0.23837], [test: 0.23832]
********************************************************************************
Finish: epoch: 47 / 500, time cost: 39.78 sec, 
              Loss: [Train: p = 1.04915, q = 1.25377], 
              Loss: [Test: p = 1.05334, q = 1.25692],
              Effect: [ate-q], [train: 0.23783], [test: 0.23778]
********************************************************************************
Finish: epoch: 48 / 500, time cost: 37.81 sec, 
              Loss: [Train: p = 1.04899, q = 1.25335], 
              Loss: [Test: p = 1.05315, q = 1.25628],
              Effect: [ate-q], [train: 0.23694], [test: 0.23688]
********************************************************************************
Finish: epoch: 49 / 500, time cost: 38.01 sec, 
              Loss: [Train: p = 1.04874, q = 1.25318], 
              Loss: [Test: p = 1.05301, q = 1.25633],
              Effect: [ate-q], [train: 0.23648], [test: 0.23643]
********************************************************************************
Finish: epoch: 50 / 500, time cost: 37.24 sec, 
              Loss: [Train: p = 1.04853, q = 1.25232], 
              Loss: [Test: p = 1.05278, q = 1.25611],
              Effect: [ate-q], [train: 0.23768], [test: 0.23763]
********************************************************************************
Finish: epoch: 51 / 500, time cost: 39.17 sec, 
              Loss: [Train: p = 1.04838, q = 1.25236], 
              Loss: [Test: p = 1.05262, q = 1.25588],
              Effect: [ate-q], [train: 0.23725], [test: 0.23719]
********************************************************************************
Finish: epoch: 52 / 500, time cost: 36.92 sec, 
              Loss: [Train: p = 1.04802, q = 1.25195], 
              Loss: [Test: p = 1.05241, q = 1.25536],
              Effect: [ate-q], [train: 0.23713], [test: 0.23707]
********************************************************************************
Finish: epoch: 53 / 500, time cost: 37.93 sec, 
              Loss: [Train: p = 1.04792, q = 1.25202], 
              Loss: [Test: p = 1.05221, q = 1.25532],
              Effect: [ate-q], [train: 0.23734], [test: 0.23728]
********************************************************************************
Finish: epoch: 54 / 500, time cost: 37.46 sec, 
              Loss: [Train: p = 1.04762, q = 1.25187], 
              Loss: [Test: p = 1.05207, q = 1.25513],
              Effect: [ate-q], [train: 0.23523], [test: 0.23517]
********************************************************************************
Finish: epoch: 55 / 500, time cost: 40.89 sec, 
              Loss: [Train: p = 1.04734, q = 1.25104], 
              Loss: [Test: p = 1.05184, q = 1.25440],
              Effect: [ate-q], [train: 0.23596], [test: 0.23591]
********************************************************************************
Finish: epoch: 56 / 500, time cost: 37.99 sec, 
              Loss: [Train: p = 1.04728, q = 1.25125], 
              Loss: [Test: p = 1.05165, q = 1.25431],
              Effect: [ate-q], [train: 0.23651], [test: 0.23645]
********************************************************************************
Finish: epoch: 57 / 500, time cost: 37.94 sec, 
              Loss: [Train: p = 1.04708, q = 1.25094], 
              Loss: [Test: p = 1.05147, q = 1.25454],
              Effect: [ate-q], [train: 0.23593], [test: 0.23587]
********************************************************************************
Finish: epoch: 58 / 500, time cost: 38.67 sec, 
              Loss: [Train: p = 1.04675, q = 1.24972], 
              Loss: [Test: p = 1.05126, q = 1.25400],
              Effect: [ate-q], [train: 0.23654], [test: 0.23648]
********************************************************************************
Finish: epoch: 59 / 500, time cost: 37.65 sec, 
              Loss: [Train: p = 1.04653, q = 1.24998], 
              Loss: [Test: p = 1.05103, q = 1.25358],
              Effect: [ate-q], [train: 0.23510], [test: 0.23504]
********************************************************************************
Finish: epoch: 60 / 500, time cost: 39.49 sec, 
              Loss: [Train: p = 1.04627, q = 1.24960], 
              Loss: [Test: p = 1.05088, q = 1.25345],
              Effect: [ate-q], [train: 0.23520], [test: 0.23514]
********************************************************************************
Finish: epoch: 61 / 500, time cost: 37.81 sec, 
              Loss: [Train: p = 1.04605, q = 1.24913], 
              Loss: [Test: p = 1.05064, q = 1.25352],
              Effect: [ate-q], [train: 0.23418], [test: 0.23412]
********************************************************************************
Finish: epoch: 62 / 500, time cost: 37.95 sec, 
              Loss: [Train: p = 1.04588, q = 1.24902], 
              Loss: [Test: p = 1.05045, q = 1.25245],
              Effect: [ate-q], [train: 0.23284], [test: 0.23279]
********************************************************************************
Finish: epoch: 63 / 500, time cost: 37.77 sec, 
              Loss: [Train: p = 1.04563, q = 1.24855], 
              Loss: [Test: p = 1.05025, q = 1.25227],
              Effect: [ate-q], [train: 0.23152], [test: 0.23147]
********************************************************************************
Finish: epoch: 64 / 500, time cost: 39.55 sec, 
              Loss: [Train: p = 1.04539, q = 1.24813], 
              Loss: [Test: p = 1.05007, q = 1.25247],
              Effect: [ate-q], [train: 0.23380], [test: 0.23375]
********************************************************************************
Finish: epoch: 65 / 500, time cost: 36.63 sec, 
              Loss: [Train: p = 1.04517, q = 1.24803], 
              Loss: [Test: p = 1.04990, q = 1.25197],
              Effect: [ate-q], [train: 0.23514], [test: 0.23509]
********************************************************************************
Finish: epoch: 66 / 500, time cost: 37.49 sec, 
              Loss: [Train: p = 1.04491, q = 1.24691], 
              Loss: [Test: p = 1.04970, q = 1.25154],
              Effect: [ate-q], [train: 0.23681], [test: 0.23675]
********************************************************************************
Finish: epoch: 67 / 500, time cost: 36.31 sec, 
              Loss: [Train: p = 1.04469, q = 1.24687], 
              Loss: [Test: p = 1.04952, q = 1.25094],
              Effect: [ate-q], [train: 0.23435], [test: 0.23430]
********************************************************************************
Finish: epoch: 68 / 500, time cost: 38.28 sec, 
              Loss: [Train: p = 1.04448, q = 1.24703], 
              Loss: [Test: p = 1.04931, q = 1.25061],
              Effect: [ate-q], [train: 0.23454], [test: 0.23449]
********************************************************************************
Finish: epoch: 69 / 500, time cost: 36.15 sec, 
              Loss: [Train: p = 1.04428, q = 1.24667], 
              Loss: [Test: p = 1.04912, q = 1.25073],
              Effect: [ate-q], [train: 0.23366], [test: 0.23361]
********************************************************************************
Finish: epoch: 70 / 500, time cost: 36.25 sec, 
              Loss: [Train: p = 1.04398, q = 1.24651], 
              Loss: [Test: p = 1.04893, q = 1.24999],
              Effect: [ate-q], [train: 0.23223], [test: 0.23218]
********************************************************************************
Finish: epoch: 71 / 500, time cost: 36.86 sec, 
              Loss: [Train: p = 1.04379, q = 1.24583], 
              Loss: [Test: p = 1.04872, q = 1.25008],
              Effect: [ate-q], [train: 0.23323], [test: 0.23319]
********************************************************************************
Finish: epoch: 72 / 500, time cost: 37.80 sec, 
              Loss: [Train: p = 1.04362, q = 1.24522], 
              Loss: [Test: p = 1.04853, q = 1.24958],
              Effect: [ate-q], [train: 0.23076], [test: 0.23071]
********************************************************************************
Finish: epoch: 73 / 500, time cost: 39.41 sec, 
              Loss: [Train: p = 1.04336, q = 1.24482], 
              Loss: [Test: p = 1.04835, q = 1.24898],
              Effect: [ate-q], [train: 0.23162], [test: 0.23158]
********************************************************************************
Finish: epoch: 74 / 500, time cost: 37.44 sec, 
              Loss: [Train: p = 1.04314, q = 1.24406], 
              Loss: [Test: p = 1.04818, q = 1.24868],
              Effect: [ate-q], [train: 0.23109], [test: 0.23105]
********************************************************************************
Finish: epoch: 75 / 500, time cost: 36.23 sec, 
              Loss: [Train: p = 1.04289, q = 1.24365], 
              Loss: [Test: p = 1.04795, q = 1.24851],
              Effect: [ate-q], [train: 0.22823], [test: 0.22818]
********************************************************************************
Finish: epoch: 76 / 500, time cost: 36.31 sec, 
              Loss: [Train: p = 1.04271, q = 1.24329], 
              Loss: [Test: p = 1.04780, q = 1.24788],
              Effect: [ate-q], [train: 0.22961], [test: 0.22957]
********************************************************************************
Finish: epoch: 77 / 500, time cost: 38.29 sec, 
              Loss: [Train: p = 1.04243, q = 1.24322], 
              Loss: [Test: p = 1.04763, q = 1.24771],
              Effect: [ate-q], [train: 0.23100], [test: 0.23096]
********************************************************************************
Finish: epoch: 78 / 500, time cost: 36.33 sec, 
              Loss: [Train: p = 1.04224, q = 1.24236], 
              Loss: [Test: p = 1.04744, q = 1.24790],
              Effect: [ate-q], [train: 0.22967], [test: 0.22963]
********************************************************************************
Finish: epoch: 79 / 500, time cost: 36.29 sec, 
              Loss: [Train: p = 1.04208, q = 1.24235], 
              Loss: [Test: p = 1.04725, q = 1.24757],
              Effect: [ate-q], [train: 0.23114], [test: 0.23110]
********************************************************************************
Finish: epoch: 80 / 500, time cost: 36.27 sec, 
              Loss: [Train: p = 1.04181, q = 1.24215], 
              Loss: [Test: p = 1.04707, q = 1.24653],
              Effect: [ate-q], [train: 0.23045], [test: 0.23042]
********************************************************************************
Finish: epoch: 81 / 500, time cost: 38.26 sec, 
              Loss: [Train: p = 1.04168, q = 1.24156], 
              Loss: [Test: p = 1.04692, q = 1.24644],
              Effect: [ate-q], [train: 0.22968], [test: 0.22964]
********************************************************************************
Finish: epoch: 82 / 500, time cost: 37.19 sec, 
              Loss: [Train: p = 1.04142, q = 1.24099], 
              Loss: [Test: p = 1.04674, q = 1.24607],
              Effect: [ate-q], [train: 0.23219], [test: 0.23216]
********************************************************************************
Finish: epoch: 83 / 500, time cost: 36.45 sec, 
              Loss: [Train: p = 1.04124, q = 1.24114], 
              Loss: [Test: p = 1.04658, q = 1.24651],
              Effect: [ate-q], [train: 0.22799], [test: 0.22796]
********************************************************************************
Finish: epoch: 84 / 500, time cost: 36.27 sec, 
              Loss: [Train: p = 1.04100, q = 1.24045], 
              Loss: [Test: p = 1.04643, q = 1.24600],
              Effect: [ate-q], [train: 0.22886], [test: 0.22883]
********************************************************************************
Finish: epoch: 85 / 500, time cost: 36.32 sec, 
              Loss: [Train: p = 1.04077, q = 1.23961], 
              Loss: [Test: p = 1.04625, q = 1.24573],
              Effect: [ate-q], [train: 0.22840], [test: 0.22838]
********************************************************************************
Finish: epoch: 86 / 500, time cost: 38.09 sec, 
              Loss: [Train: p = 1.04061, q = 1.23974], 
              Loss: [Test: p = 1.04607, q = 1.24565],
              Effect: [ate-q], [train: 0.22622], [test: 0.22619]
********************************************************************************
Finish: epoch: 87 / 500, time cost: 36.13 sec, 
              Loss: [Train: p = 1.04037, q = 1.23967], 
              Loss: [Test: p = 1.04587, q = 1.24515],
              Effect: [ate-q], [train: 0.23145], [test: 0.23143]
********************************************************************************
Finish: epoch: 88 / 500, time cost: 36.55 sec, 
              Loss: [Train: p = 1.04027, q = 1.23927], 
              Loss: [Test: p = 1.04571, q = 1.24529],
              Effect: [ate-q], [train: 0.22753], [test: 0.22751]
********************************************************************************
Finish: epoch: 89 / 500, time cost: 37.77 sec, 
              Loss: [Train: p = 1.03998, q = 1.23868], 
              Loss: [Test: p = 1.04556, q = 1.24487],
              Effect: [ate-q], [train: 0.22807], [test: 0.22806]
********************************************************************************
Finish: epoch: 90 / 500, time cost: 39.71 sec, 
              Loss: [Train: p = 1.03978, q = 1.23831], 
              Loss: [Test: p = 1.04540, q = 1.24439],
              Effect: [ate-q], [train: 0.22748], [test: 0.22747]
********************************************************************************
Finish: epoch: 91 / 500, time cost: 37.68 sec, 
              Loss: [Train: p = 1.03961, q = 1.23812], 
              Loss: [Test: p = 1.04525, q = 1.24444],
              Effect: [ate-q], [train: 0.22495], [test: 0.22494]
********************************************************************************
Finish: epoch: 92 / 500, time cost: 39.11 sec, 
              Loss: [Train: p = 1.03947, q = 1.23752], 
              Loss: [Test: p = 1.04505, q = 1.24401],
              Effect: [ate-q], [train: 0.22578], [test: 0.22577]
********************************************************************************
Finish: epoch: 93 / 500, time cost: 37.27 sec, 
              Loss: [Train: p = 1.03915, q = 1.23738], 
              Loss: [Test: p = 1.04491, q = 1.24392],
              Effect: [ate-q], [train: 0.22534], [test: 0.22533]
********************************************************************************
Finish: epoch: 94 / 500, time cost: 39.64 sec, 
              Loss: [Train: p = 1.03910, q = 1.23747], 
              Loss: [Test: p = 1.04479, q = 1.24420],
              Effect: [ate-q], [train: 0.22296], [test: 0.22295]
********************************************************************************
Finish: epoch: 95 / 500, time cost: 37.36 sec, 
              Loss: [Train: p = 1.03895, q = 1.23673], 
              Loss: [Test: p = 1.04464, q = 1.24395],
              Effect: [ate-q], [train: 0.22279], [test: 0.22278]
********************************************************************************
Finish: epoch: 96 / 500, time cost: 37.43 sec, 
              Loss: [Train: p = 1.03873, q = 1.23644], 
              Loss: [Test: p = 1.04447, q = 1.24326],
              Effect: [ate-q], [train: 0.22451], [test: 0.22451]
********************************************************************************
Finish: epoch: 97 / 500, time cost: 37.70 sec, 
              Loss: [Train: p = 1.03855, q = 1.23616], 
              Loss: [Test: p = 1.04432, q = 1.24281],
              Effect: [ate-q], [train: 0.22240], [test: 0.22240]
********************************************************************************
Finish: epoch: 98 / 500, time cost: 36.89 sec, 
              Loss: [Train: p = 1.03828, q = 1.23624], 
              Loss: [Test: p = 1.04416, q = 1.24283],
              Effect: [ate-q], [train: 0.22007], [test: 0.22007]
********************************************************************************
Finish: epoch: 99 / 500, time cost: 39.34 sec, 
              Loss: [Train: p = 1.03814, q = 1.23624], 
              Loss: [Test: p = 1.04402, q = 1.24294],
              Effect: [ate-q], [train: 0.22131], [test: 0.22132]
********************************************************************************
Finish: epoch: 100 / 500, time cost: 37.99 sec, 
              Loss: [Train: p = 1.03798, q = 1.23614], 
              Loss: [Test: p = 1.04387, q = 1.24249],
              Effect: [ate-q], [train: 0.22246], [test: 0.22247]
********************************************************************************
Finish: epoch: 101 / 500, time cost: 37.83 sec, 
              Loss: [Train: p = 1.03782, q = 1.23551], 
              Loss: [Test: p = 1.04376, q = 1.24208],
              Effect: [ate-q], [train: 0.22105], [test: 0.22106]
********************************************************************************
Finish: epoch: 102 / 500, time cost: 38.21 sec, 
              Loss: [Train: p = 1.03772, q = 1.23501], 
              Loss: [Test: p = 1.04361, q = 1.24245],
              Effect: [ate-q], [train: 0.22403], [test: 0.22404]
********************************************************************************
Finish: epoch: 103 / 500, time cost: 39.39 sec, 
              Loss: [Train: p = 1.03738, q = 1.23520], 
              Loss: [Test: p = 1.04349, q = 1.24211],
              Effect: [ate-q], [train: 0.22351], [test: 0.22352]
********************************************************************************
Finish: epoch: 104 / 500, time cost: 36.28 sec, 
              Loss: [Train: p = 1.03738, q = 1.23453], 
              Loss: [Test: p = 1.04334, q = 1.24245],
              Effect: [ate-q], [train: 0.22050], [test: 0.22051]
********************************************************************************
Finish: epoch: 105 / 500, time cost: 37.61 sec, 
              Loss: [Train: p = 1.03719, q = 1.23402], 
              Loss: [Test: p = 1.04321, q = 1.24192],
              Effect: [ate-q], [train: 0.22048], [test: 0.22049]
********************************************************************************
Finish: epoch: 106 / 500, time cost: 37.65 sec, 
              Loss: [Train: p = 1.03698, q = 1.23375], 
              Loss: [Test: p = 1.04306, q = 1.24175],
              Effect: [ate-q], [train: 0.22227], [test: 0.22229]
********************************************************************************
Finish: epoch: 107 / 500, time cost: 39.55 sec, 
              Loss: [Train: p = 1.03685, q = 1.23419], 
              Loss: [Test: p = 1.04294, q = 1.24205],
              Effect: [ate-q], [train: 0.22227], [test: 0.22229]
********************************************************************************
Finish: epoch: 108 / 500, time cost: 36.59 sec, 
              Loss: [Train: p = 1.03667, q = 1.23373], 
              Loss: [Test: p = 1.04277, q = 1.24165],
              Effect: [ate-q], [train: 0.22119], [test: 0.22121]
********************************************************************************
Finish: epoch: 109 / 500, time cost: 37.84 sec, 
              Loss: [Train: p = 1.03649, q = 1.23313], 
              Loss: [Test: p = 1.04263, q = 1.24198],
              Effect: [ate-q], [train: 0.22058], [test: 0.22060]
********************************************************************************
Finish: epoch: 110 / 500, time cost: 37.38 sec, 
              Loss: [Train: p = 1.03630, q = 1.23297], 
              Loss: [Test: p = 1.04248, q = 1.24116],
              Effect: [ate-q], [train: 0.22268], [test: 0.22270]
********************************************************************************
Finish: epoch: 111 / 500, time cost: 38.02 sec, 
              Loss: [Train: p = 1.03609, q = 1.23294], 
              Loss: [Test: p = 1.04239, q = 1.24152],
              Effect: [ate-q], [train: 0.22135], [test: 0.22137]
********************************************************************************
Finish: epoch: 112 / 500, time cost: 39.78 sec, 
              Loss: [Train: p = 1.03603, q = 1.23266], 
              Loss: [Test: p = 1.04224, q = 1.24133],
              Effect: [ate-q], [train: 0.22393], [test: 0.22396]
********************************************************************************
Finish: epoch: 113 / 500, time cost: 37.98 sec, 
              Loss: [Train: p = 1.03579, q = 1.23228], 
              Loss: [Test: p = 1.04212, q = 1.24062],
              Effect: [ate-q], [train: 0.21789], [test: 0.21792]
********************************************************************************
Finish: epoch: 114 / 500, time cost: 37.69 sec, 
              Loss: [Train: p = 1.03570, q = 1.23192], 
              Loss: [Test: p = 1.04200, q = 1.24114],
              Effect: [ate-q], [train: 0.22089], [test: 0.22092]
********************************************************************************
Finish: epoch: 115 / 500, time cost: 37.76 sec, 
              Loss: [Train: p = 1.03553, q = 1.23227], 
              Loss: [Test: p = 1.04187, q = 1.24032],
              Effect: [ate-q], [train: 0.22254], [test: 0.22257]
********************************************************************************
